Gender,Age Group,State of Residence,Product,Rating
Male,65-74,TN,USB drive,4
Male,18-24,MS,headphones,3
Male,65-74,HI,headphones,1
Female,18-24,WA,USB drive,3
Male,18-24,DC,USB drive,2
Male,25-34,NE,cell phone,4
Male,25-34,OK,toothpaste,1
Male,35-44,NM,laptop,4
Female,18-24,OK,USB drive,4
Female,45-54,VT,laptop,2
Female,35-44,RI,USB drive,5
Female,45-54,RI,calculator,2
Female,18-24,MI,laptop,2
Male,45-54,FL,toothpaste,1
Female,55-64,NV,headphones,4
Male,75+,NJ,USB drive,1
Male,45-54,MT,laptop,4
Male,45-54,MI,toothpaste,1
Female,65-74,IA,cell phone,1
Female,35-44,OK,cell phone,2
Female,75+,IN,cell phone,1
Female,65-74,NJ,calculator,2
Female,35-44,MA,USB drive,1
Female,18-24,IN,calculator,1
Female,18-24,NJ,toothpaste,3
Female,75+,MN,calculator,5
Male,25-34,OK,headphones,1
Male,65-74,IN,calculator,5
Male,25-34,DE,calculator,4
Female,35-44,SD,cell phone,4
Female,75+,PA,USB drive,2
Female,65-74,MS,headphones,4
Male,18-24,OH,headphones,2
Male,18-24,HI,USB drive,1
Female,35-44,IL,USB drive,3
Male,55-64,WV,toothpaste,2
Male,18-24,SC,headphones,1
Male,65-74,NV,cell phone,4
Female,18-24,KY,USB drive,5
Male,18-24,WY,USB drive,3
Male,75+,ID,headphones,1
Male,55-64,MT,laptop,3
Male,45-54,ME,cell phone,3
Male,65-74,AZ,calculator,4
Male,75+,UT,toothpaste,2
Male,65-74,TX,USB drive,4
Male,18-24,NM,laptop,2
Male,75+,TN,toothpaste,4
Female,55-64,SC,cell phone,5
Female,35-44,MY,USB drive,3
Female,75+,WA,calculator,1
Female,18-24,DE,USB drive,1
Male,75+,DE,calculator,1
Female,25-34,MD,laptop,5
Male,25-34,WI,headphones,1
Female,25-34,DC,USB drive,2
Female,18-24,MN,USB drive,2
Female,65-74,WY,cell phone,2
Female,75+,MN,calculator,5
Female,65-74,SD,cell phone,3
Male,18-24,MT,cell phone,3
Male,18-24,WY,USB drive,3
Male,45-54,VA,headphones,3
Male,18-24,IA,headphones,2
Male,55-64,UT,toothpaste,5
Female,25-34,NE,toothpaste,2
Female,35-44,MI,USB drive,3
Female,65-74,KY,calculator,1
Female,35-44,NJ,calculator,5
Male,35-44,AL,headphones,3
Female,45-54,DE,toothpaste,2
Female,75+,WI,calculator,4
Male,35-44,MD,headphones,1
Female,18-24,VT,toothpaste,1
Female,75+,NH,toothpaste,3
Male,65-74,CT,cell phone,1
Male,55-64,NV,calculator,4
Male,65-74,CA,cell phone,5
Female,35-44,DE,laptop,1
Male,45-54,MI,USB drive,2
Female,75+,OK,USB drive,1
Female,75+,NJ,headphones,1
Male,18-24,VA,calculator,2
Male,35-44,PA,headphones,4
Male,45-54,VA,cell phone,5
Male,18-24,NH,calculator,1
Male,35-44,ME,cell phone,3
Male,75+,OR,headphones,1
Female,55-64,MT,laptop,5
Male,18-24,NE,headphones,2
Female,55-64,OR,cell phone,3
Female,35-44,CA,calculator,3
Male,45-54,NM,calculator,2
Male,25-34,NV,USB drive,5
Male,55-64,MN,cell phone,5
Female,18-24,VA,calculator,1
Male,45-54,CO,cell phone,5
Male,35-44,IL,toothpaste,4
Female,75+,ND,USB drive,3
Female,75+,AK,laptop,4
Male,18-24,LA,cell phone,4
Female,18-24,NH,USB drive,1
Male,25-34,DC,USB drive,5
Male,18-24,NE,USB drive,3
Male,18-24,AZ,toothpaste,4
Female,18-24,NJ,headphones,4
Female,65-74,TN,calculator,1
Female,45-54,NV,toothpaste,1
Male,75+,ID,headphones,2
Male,65-74,WV,laptop,3
Male,55-64,OH,USB drive,2
Male,25-34,MS,USB drive,5
Female,75+,CO,USB drive,4
Male,45-54,DC,toothpaste,5
Female,65-74,CT,USB drive,5
Female,75+,ME,cell phone,2
Male,45-54,OH,cell phone,2
Male,25-34,CO,USB drive,5
Male,55-64,GA,cell phone,1
Female,65-74,VA,toothpaste,1
Female,45-54,CO,toothpaste,5
Female,65-74,ID,cell phone,1
Female,65-74,ME,headphones,1
Male,75+,SD,toothpaste,1
Male,55-64,MI,laptop,3
Female,65-74,NM,headphones,3
Male,45-54,VA,USB drive,2
Female,18-24,NJ,cell phone,4
Male,18-24,SC,calculator,1
Female,75+,KY,cell phone,1
Female,65-74,TN,laptop,5
Female,35-44,UT,toothpaste,3
Male,65-74,IL,toothpaste,2
Female,35-44,MA,laptop,1
Male,65-74,LA,cell phone,5
Female,18-24,MD,USB drive,4
Female,75+,KS,cell phone,2
Male,35-44,NJ,headphones,1
Male,45-54,AK,toothpaste,1
Male,35-44,ND,USB drive,5
Female,25-34,CO,toothpaste,1
Female,65-74,CT,toothpaste,4
Female,75+,ME,toothpaste,5
Female,18-24,SC,cell phone,3
Female,25-34,NJ,USB drive,2
Male,55-64,KY,USB drive,2
Male,55-64,IN,headphones,1
Male,45-54,CT,calculator,5
Male,55-64,LA,headphones,3
Male,35-44,AK,calculator,3
Female,65-74,MY,cell phone,1
Female,45-54,NJ,headphones,3
Female,45-54,WV,laptop,2
Female,55-64,NJ,USB drive,1
Female,25-34,SD,headphones,2
Male,45-54,ID,cell phone,3
Female,75+,AZ,headphones,1
Female,35-44,UT,cell phone,1
